Category,ID,X,Y
B,e264223f-5d59-11ed-a7dd-085bd6358b67,7417.87,7951.936
C,e265240f-5d59-11ed-bc51-085bd6358b67,6520.317,5300.399
B,e265255d-5d59-11ed-b5c8-085bd6358b67,7759.586,2490.527
A,e2652634-5d59-11ed-8351-085bd6358b67,1132.06,4690.69
B,e2652702-5d59-11ed-8fc7-085bd6358b67,5437.609,5739.412
C,e26527b5-5d59-11ed-80d6-085bd6358b67,2167.298,2794.824
B,e265286c-5d59-11ed-baa5-085bd6358b67,1596.042,7971.47
C,e2652924-5d59-11ed-88e1-085bd6358b67,6174.525,1266.992
A,e26529d4-5d59-11ed-801d-085bd6358b67,2094.564,2154.812
A,e2652a87-5d59-11ed-bedf-085bd6358b67,8724.078,2893.052
A,e2652b3e-5d59-11ed-bd88-085bd6358b67,5392.235,6778.305
A,e2652bf7-5d59-11ed-8d1b-085bd6358b67,9409.76,6906.419
B,e2652ca3-5d59-11ed-bddc-085bd6358b67,2987.889,3611.899
A,e2652d4a-5d59-11ed-8a9f-085bd6358b67,2638.119,3318.545
C,e2652dfe-5d59-11ed-b450-085bd6358b67,5861.413,5959.79
B,e2652ea6-5d59-11ed-ad4a-085bd6358b67,660.225,3553.514
B,e2652f4c-5d59-11ed-9396-085bd6358b67,6964.198,1847.732
