Category,ID,X,Y
Alpha,0a6da330-5bb7-11ed-a701-085bd6358b67,1282,2976
Beta,0a6e59fa-5bb7-11ed-bf2b-085bd6358b67,6457,7800
Beta,0a6e5af7-5bb7-11ed-811c-085bd6358b67,6179,5874
Alpha,0a6e5bad-5bb7-11ed-aeda-085bd6358b67,2175,2640
Alpha,0a6e5c4f-5bb7-11ed-a4ef-085bd6358b67,3422,4355
Gamma,0a6e5ceb-5bb7-11ed-a375-085bd6358b67,4488,1638
Delta,0a6e5d82-5bb7-11ed-893e-085bd6358b67,6805,9482
Beta,0a6e5e18-5bb7-11ed-8b50-085bd6358b67,4012,3727
Alpha,0a6e5ea5-5bb7-11ed-9dac-085bd6358b67,5012,5167
Alpha,0a6e5f33-5bb7-11ed-a541-085bd6358b67,6039,4731
Gamma,0a6e5fc6-5bb7-11ed-9e9d-085bd6358b67,9157,3319
Delta,0a6e605a-5bb7-11ed-8042-085bd6358b67,5457,3334
Beta,0a6e60f8-5bb7-11ed-b5c4-085bd6358b67,7754,3292
Gamma,0a6e618d-5bb7-11ed-95de-085bd6358b67,7767,4066
Gamma,0a6e621b-5bb7-11ed-acab-085bd6358b67,125,8602
Alpha,0a6e62a8-5bb7-11ed-b8a8-085bd6358b67,1768,1541
Beta,0a6e6339-5bb7-11ed-899c-085bd6358b67,3130,9888
Beta,0a6e63d7-5bb7-11ed-a4bc-085bd6358b67,3086,8962
Alpha,0a6e6463-5bb7-11ed-bf74-085bd6358b67,2799,6912
Delta,0a6e64ef-5bb7-11ed-84cd-085bd6358b67,7915,7240
Alpha,0a6e657b-5bb7-11ed-b371-085bd6358b67,8984,1170
Delta,0a6e6606-5bb7-11ed-9523-085bd6358b67,6883,1458
Beta,0a6e6690-5bb7-11ed-be94-085bd6358b67,2920,9130
Delta,0a6e671c-5bb7-11ed-9075-085bd6358b67,671,7639
Beta,0a6e67a9-5bb7-11ed-a4fb-085bd6358b67,200,7743
Gamma,0a6e6840-5bb7-11ed-8f74-085bd6358b67,6789,277
Delta,0a6e691c-5bb7-11ed-ba45-085bd6358b67,7805,4511
Delta,0a6e69b3-5bb7-11ed-809b-085bd6358b67,2259,4482
Gamma,0a6e6a48-5bb7-11ed-8f0f-085bd6358b67,9996,7082
Delta,0a6e6ad6-5bb7-11ed-823c-085bd6358b67,4988,744
Delta,0a6e6b68-5bb7-11ed-a90f-085bd6358b67,8296,3246
Beta,0a6e6bf3-5bb7-11ed-b0d2-085bd6358b67,2114,2024
Delta,0a6e6c79-5bb7-11ed-b55c-085bd6358b67,2035,5484
Alpha,0a6e6d1b-5bb7-11ed-a9d5-085bd6358b67,1741,1458
Alpha,0a6e6da9-5bb7-11ed-b275-085bd6358b67,8683,4432
Beta,0a6e6e31-5bb7-11ed-aa76-085bd6358b67,9072,5399
Beta,0a6e6ebe-5bb7-11ed-aa2b-085bd6358b67,3935,9162
Alpha,0a6e6f49-5bb7-11ed-8c6d-085bd6358b67,7666,767
Alpha,0a6e6fd4-5bb7-11ed-b030-085bd6358b67,1166,411
Delta,0a6e704e-5bb7-11ed-9b9a-085bd6358b67,4439,1202
Delta,0a6e70d1-5bb7-11ed-bda6-085bd6358b67,9419,6483
Beta,0a6e7157-5bb7-11ed-b934-085bd6358b67,3483,8882
Gamma,0a6e71cf-5bb7-11ed-91e2-085bd6358b67,5358,1461
Delta,0a6e7241-5bb7-11ed-9abd-085bd6358b67,9976,1939
Beta,0a6e72b1-5bb7-11ed-90b8-085bd6358b67,3875,4724
Delta,0a6e732a-5bb7-11ed-944f-085bd6358b67,7493,6424
Delta,0a6e739e-5bb7-11ed-9069-085bd6358b67,3561,3681
Gamma,0a6e7412-5bb7-11ed-891e-085bd6358b67,4626,7481
Alpha,0a6e7483-5bb7-11ed-88a4-085bd6358b67,2416,2961
Gamma,0a6e74f2-5bb7-11ed-860b-085bd6358b67,5370,177
Gamma,0a6e7564-5bb7-11ed-a6eb-085bd6358b67,5840,6570
Alpha,0a6e75d6-5bb7-11ed-b86e-085bd6358b67,4340,9344
Gamma,0a6e7646-5bb7-11ed-a05b-085bd6358b67,5628,2292
Beta,0a6e76bb-5bb7-11ed-bd41-085bd6358b67,9771,8766
Beta,0a6e7729-5bb7-11ed-a156-085bd6358b67,8880,928
Beta,0a6e779a-5bb7-11ed-ba14-085bd6358b67,1319,7062
Delta,0a6e780c-5bb7-11ed-87dd-085bd6358b67,202,3424
Alpha,0a6e7883-5bb7-11ed-a9f9-085bd6358b67,1996,1626
Alpha,0a6e78f9-5bb7-11ed-a4b1-085bd6358b67,4759,8032
Beta,0a6e797f-5bb7-11ed-bb0d-085bd6358b67,9678,4148
Beta,0a6e79f0-5bb7-11ed-9718-085bd6358b67,7485,4645
Alpha,0a6e7a65-5bb7-11ed-9ba9-085bd6358b67,5276,7761
Gamma,0a6e7ad7-5bb7-11ed-bce4-085bd6358b67,783,4181
Beta,0a6e7b4c-5bb7-11ed-b407-085bd6358b67,4147,9101
Delta,0a6e7bbc-5bb7-11ed-9a80-085bd6358b67,7690,8321
Delta,0a6e7c2e-5bb7-11ed-ab03-085bd6358b67,7633,8808
Gamma,0a6e7ca6-5bb7-11ed-a876-085bd6358b67,9668,7689
Gamma,0a6e7d1a-5bb7-11ed-859f-085bd6358b67,6885,191
Alpha,0a6e7daa-5bb7-11ed-9e72-085bd6358b67,1642,141
Beta,0a6e7e25-5bb7-11ed-b30d-085bd6358b67,9655,1771
Gamma,0a6e7e9e-5bb7-11ed-9d3b-085bd6358b67,2589,39
Beta,0a6e7f17-5bb7-11ed-ad63-085bd6358b67,810,8623
Beta,0a6e7f8a-5bb7-11ed-ae94-085bd6358b67,5285,3389
Gamma,0a6e8000-5bb7-11ed-bca2-085bd6358b67,4482,1846
Beta,0a6e8073-5bb7-11ed-ae1a-085bd6358b67,4382,4789
Gamma,0a6e80e5-5bb7-11ed-84b6-085bd6358b67,6169,9917
Gamma,0a6e815d-5bb7-11ed-bc60-085bd6358b67,4071,1439
Delta,0a6e81e9-5bb7-11ed-8b54-085bd6358b67,5830,9066
Gamma,0a6e825e-5bb7-11ed-888c-085bd6358b67,1925,666
Beta,0a6e82d7-5bb7-11ed-b41d-085bd6358b67,4567,4688
Alpha,0a6e8348-5bb7-11ed-ba5c-085bd6358b67,7683,7924
Gamma,0a6e83bc-5bb7-11ed-9f32-085bd6358b67,8807,8404
Alpha,0a6e842e-5bb7-11ed-b4ea-085bd6358b67,4516,4919
Alpha,0a6e849d-5bb7-11ed-bcf0-085bd6358b67,176,2292
Gamma,0a6e8511-5bb7-11ed-8210-085bd6358b67,7267,2294
Delta,0a6e8585-5bb7-11ed-857b-085bd6358b67,3897,9806
Beta,0a6e85fa-5bb7-11ed-864f-085bd6358b67,5940,6404
Alpha,0a6e866a-5bb7-11ed-933a-085bd6358b67,3003,7185
Alpha,0a6e86dd-5bb7-11ed-9677-085bd6358b67,7748,6358
Beta,0a6e8753-5bb7-11ed-9f12-085bd6358b67,9774,1336
Alpha,0a6e87c7-5bb7-11ed-801e-085bd6358b67,1074,7623
Gamma,0a6e8852-5bb7-11ed-88ff-085bd6358b67,3200,6229
Alpha,0a6e88c8-5bb7-11ed-b9f1-085bd6358b67,4699,3660
Gamma,0a6e893f-5bb7-11ed-b110-085bd6358b67,9084,4638
Gamma,0a6e89af-5bb7-11ed-b053-085bd6358b67,3815,3281
Gamma,0a6e8a21-5bb7-11ed-a90f-085bd6358b67,463,8510
Gamma,0a6e8a95-5bb7-11ed-b53d-085bd6358b67,117,238
Beta,0a6e8b03-5bb7-11ed-83b7-085bd6358b67,1534,9691
Alpha,0a6e8b73-5bb7-11ed-ba42-085bd6358b67,3418,664
Gamma,0a6e8be5-5bb7-11ed-9f57-085bd6358b67,4987,5633
Beta,0a6e8c55-5bb7-11ed-828a-085bd6358b67,8200,8315
Gamma,0a6e8cc6-5bb7-11ed-8af8-085bd6358b67,2430,1296
Gamma,0a6e8d3c-5bb7-11ed-906e-085bd6358b67,484,2420
Beta,0a6e8db3-5bb7-11ed-9b0f-085bd6358b67,4752,7954
Gamma,0a6e8e22-5bb7-11ed-9a7b-085bd6358b67,6766,2667
Gamma,0a6e8e98-5bb7-11ed-8f15-085bd6358b67,1206,8776
Delta,0a6e8f16-5bb7-11ed-a480-085bd6358b67,2803,3817
Beta,0a6e8f85-5bb7-11ed-930d-085bd6358b67,6440,6031
Beta,0a6e8ff8-5bb7-11ed-9a5a-085bd6358b67,7850,1336
Delta,0a6e906a-5bb7-11ed-b822-085bd6358b67,3991,847
Gamma,0a6e90dc-5bb7-11ed-b62b-085bd6358b67,1293,5318
Gamma,0a6e914b-5bb7-11ed-8a1f-085bd6358b67,9616,913
Delta,0a6e91d9-5bb7-11ed-8547-085bd6358b67,9700,6455
Beta,0a6e9259-5bb7-11ed-afa4-085bd6358b67,8648,6906
Delta,0a6e92cd-5bb7-11ed-ae1d-085bd6358b67,6022,9418
Delta,0a6e9340-5bb7-11ed-ba3b-085bd6358b67,8283,8986
Alpha,0a6e93b4-5bb7-11ed-a468-085bd6358b67,2191,4366
Alpha,0a6e9428-5bb7-11ed-8615-085bd6358b67,1931,4503
Gamma,0a6e9497-5bb7-11ed-a565-085bd6358b67,7547,5620
Alpha,0a6e9509-5bb7-11ed-9fe8-085bd6358b67,4358,3397
Beta,0a6e957b-5bb7-11ed-ad0d-085bd6358b67,5866,48
Beta,0a6e95ed-5bb7-11ed-a008-085bd6358b67,8423,2816
Beta,0a6e9675-5bb7-11ed-bd03-085bd6358b67,4850,4840
Beta,0a6e96e8-5bb7-11ed-937b-085bd6358b67,1428,7724
Alpha,0a6e975d-5bb7-11ed-b974-085bd6358b67,6206,8038
Beta,0a6e97ed-5bb7-11ed-97bd-085bd6358b67,353,9707
Beta,0a6e9864-5bb7-11ed-b137-085bd6358b67,6320,7458
Gamma,0a6e98d7-5bb7-11ed-9ee9-085bd6358b67,2562,6510
Alpha,0a6e9948-5bb7-11ed-bb81-085bd6358b67,1959,891
Gamma,0a6e99be-5bb7-11ed-83a4-085bd6358b67,5825,290
Delta,0a6e9a2f-5bb7-11ed-a750-085bd6358b67,3592,6381
Delta,0a6e9aa3-5bb7-11ed-ab3d-085bd6358b67,5864,2622
Alpha,0a6e9b18-5bb7-11ed-bd38-085bd6358b67,9903,9955
Alpha,0a6e9b8b-5bb7-11ed-8c90-085bd6358b67,2167,4075
Alpha,0a6e9c06-5bb7-11ed-a107-085bd6358b67,6608,9816
Delta,0a6e9c77-5bb7-11ed-a94d-085bd6358b67,3005,4588
Delta,0a6e9cea-5bb7-11ed-af64-085bd6358b67,9697,1321
Alpha,0a6e9d5c-5bb7-11ed-bb0f-085bd6358b67,2998,3550
Delta,0a6e9dcd-5bb7-11ed-be64-085bd6358b67,5040,8649
Beta,0a6e9e3d-5bb7-11ed-a80d-085bd6358b67,4715,5422
Gamma,0a6e9eb0-5bb7-11ed-be79-085bd6358b67,7244,4590
Gamma,0a6e9f23-5bb7-11ed-921d-085bd6358b67,7828,4765
Alpha,0a6e9f93-5bb7-11ed-8107-085bd6358b67,4864,7373
Beta,0a6ea00c-5bb7-11ed-b282-085bd6358b67,6505,8199
Delta,0a6ea084-5bb7-11ed-8d88-085bd6358b67,9902,9225
Alpha,0a6ea0f3-5bb7-11ed-8dc1-085bd6358b67,8245,6382
Delta,0a6ea167-5bb7-11ed-9d65-085bd6358b67,3503,892
Gamma,0a6ea1d5-5bb7-11ed-9359-085bd6358b67,9172,3783
Delta,0a6ea24b-5bb7-11ed-b832-085bd6358b67,4075,9274
Alpha,0a6ea2be-5bb7-11ed-b842-085bd6358b67,8760,4063
Beta,0a6ea32d-5bb7-11ed-93e1-085bd6358b67,7783,7824
Gamma,0a6ea39f-5bb7-11ed-aa41-085bd6358b67,6376,8243
Gamma,0a6ea410-5bb7-11ed-8282-085bd6358b67,6772,3707
Gamma,0a6ea484-5bb7-11ed-9897-085bd6358b67,5464,3924
Gamma,0a6ea50e-5bb7-11ed-931d-085bd6358b67,8452,1948
Beta,0a6ea5a1-5bb7-11ed-af59-085bd6358b67,2248,722
Delta,0a6ea614-5bb7-11ed-a5cb-085bd6358b67,4724,3290
Gamma,0a6ea689-5bb7-11ed-80d7-085bd6358b67,7779,2851
Alpha,0a6ea704-5bb7-11ed-840f-085bd6358b67,8095,3708
Gamma,0a6ea77e-5bb7-11ed-8625-085bd6358b67,3246,5937
Alpha,0a6ea7ed-5bb7-11ed-82c8-085bd6358b67,9276,9435
Delta,0a6ea861-5bb7-11ed-ab6e-085bd6358b67,8864,8834
Beta,0a6ea8d2-5bb7-11ed-9015-085bd6358b67,9791,3454
Alpha,0a6ea949-5bb7-11ed-b0f9-085bd6358b67,8737,9495
Gamma,0a6ea9b9-5bb7-11ed-9d4d-085bd6358b67,9713,7640
Gamma,0a6eaa2a-5bb7-11ed-b876-085bd6358b67,5095,7321
Alpha,0a6eaa9c-5bb7-11ed-a85a-085bd6358b67,8672,7540
Alpha,0a6eab8c-5bb7-11ed-80f8-085bd6358b67,1539,6908
Beta,0a6eac08-5bb7-11ed-ae40-085bd6358b67,6481,8630
Delta,0a6eac7c-5bb7-11ed-8dce-085bd6358b67,9109,8707
Delta,0a6eacf2-5bb7-11ed-a918-085bd6358b67,5843,7549
Delta,0a6ead62-5bb7-11ed-bb18-085bd6358b67,4012,8754
Delta,0a6eadd3-5bb7-11ed-b153-085bd6358b67,3654,5237
Beta,0a6eae45-5bb7-11ed-b0a3-085bd6358b67,1076,1408
Delta,0a6eaeb8-5bb7-11ed-86ea-085bd6358b67,3450,8019
Alpha,0a6eaf2c-5bb7-11ed-90b0-085bd6358b67,5298,1042
Alpha,0a6eaf9c-5bb7-11ed-921f-085bd6358b67,331,8644
Alpha,0a6eb019-5bb7-11ed-86a4-085bd6358b67,6664,9619
Alpha,0a6eb090-5bb7-11ed-8fbf-085bd6358b67,773,125
Beta,0a6eb103-5bb7-11ed-8c75-085bd6358b67,2512,3917
Beta,0a6eb174-5bb7-11ed-add2-085bd6358b67,7076,6995
Alpha,0a6eb1e8-5bb7-11ed-8e50-085bd6358b67,9209,525
Gamma,0a6eb259-5bb7-11ed-a495-085bd6358b67,6590,3281
Alpha,0a6eb2ca-5bb7-11ed-ae55-085bd6358b67,7887,137
Beta,0a6eb33f-5bb7-11ed-b5d4-085bd6358b67,2217,6898
Delta,0a6eb3cd-5bb7-11ed-a9ea-085bd6358b67,4460,744
Delta,0a6eb443-5bb7-11ed-9674-085bd6358b67,7615,1090
Gamma,0a6eb4b7-5bb7-11ed-865a-085bd6358b67,62,1938
Alpha,0a6eb528-5bb7-11ed-b7bd-085bd6358b67,4760,6059
Delta,0a6eb59a-5bb7-11ed-bc64-085bd6358b67,981,2161
