Category,ID,X,Y
Alpha,32a5edce-5bb7-11ed-a491-085bd6358b67,7026,7906
Alpha,32a6a202-5bb7-11ed-a4ff-085bd6358b67,3376,7578
Delta,32a6a32a-5bb7-11ed-b40d-085bd6358b67,4546,2625
Delta,32a6a400-5bb7-11ed-8233-085bd6358b67,5370,1246
Gamma,32a6a4c3-5bb7-11ed-8fff-085bd6358b67,730,6887
Beta,32a6a581-5bb7-11ed-b70c-085bd6358b67,9882,5817
Delta,32a6a62a-5bb7-11ed-986c-085bd6358b67,4646,4297
Beta,32a6a6d5-5bb7-11ed-9d3c-085bd6358b67,4966,5940
Delta,32a6a77d-5bb7-11ed-8882-085bd6358b67,3922,7203
Delta,32a6a827-5bb7-11ed-a740-085bd6358b67,725,9550
Beta,32a6a8c9-5bb7-11ed-8042-085bd6358b67,2195,3194
Gamma,32a6a97a-5bb7-11ed-bc39-085bd6358b67,8787,5998
Beta,32a6aa26-5bb7-11ed-b169-085bd6358b67,5150,8994
Delta,32a6aacf-5bb7-11ed-9cd7-085bd6358b67,7700,1064
Gamma,32a6ab82-5bb7-11ed-a9ca-085bd6358b67,8223,2562
Beta,32a6ac2e-5bb7-11ed-b5e6-085bd6358b67,6764,3905
Alpha,32a6acd7-5bb7-11ed-825c-085bd6358b67,8136,4934
Alpha,32a6ad89-5bb7-11ed-b459-085bd6358b67,8740,1326
Delta,32a6ae39-5bb7-11ed-8994-085bd6358b67,9293,6130
Beta,32a6aee1-5bb7-11ed-ba6d-085bd6358b67,1850,1582
Beta,32a6af86-5bb7-11ed-9c42-085bd6358b67,3128,5712
Delta,32a6b0be-5bb7-11ed-9bba-085bd6358b67,7300,4021
Gamma,32a6b162-5bb7-11ed-ab92-085bd6358b67,2351,8550
Alpha,32a6b207-5bb7-11ed-8b6b-085bd6358b67,4374,7466
Beta,32a6b2af-5bb7-11ed-935d-085bd6358b67,2855,2885
Gamma,32a6b389-5bb7-11ed-9eba-085bd6358b67,5374,7122
Alpha,32a6b43d-5bb7-11ed-8e50-085bd6358b67,8926,715
Gamma,32a6b4e7-5bb7-11ed-9539-085bd6358b67,3975,1309
Delta,32a6b587-5bb7-11ed-90c0-085bd6358b67,6632,9549
