Category,ID,X,Y
Alpha,1c807f4b-5bf7-11ed-a491-085bd6358b67,7026,7906
Alpha,1c81bd19-5bf7-11ed-a4ff-085bd6358b67,3376,7578
Delta,1c81bdf4-5bf7-11ed-b40d-085bd6358b67,4546,2625
Delta,1c81beab-5bf7-11ed-8233-085bd6358b67,5370,1246
Gamma,1c81bf49-5bf7-11ed-8fff-085bd6358b67,730,6887
Beta,1c81bfe9-5bf7-11ed-b70c-085bd6358b67,9882,5817
Delta,1c81c082-5bf7-11ed-986c-085bd6358b67,4646,4297
Beta,1c81c120-5bf7-11ed-9d3c-085bd6358b67,4966,5940
Delta,1c81c1bb-5bf7-11ed-8882-085bd6358b67,3922,7203
Delta,1c81c25b-5bf7-11ed-a740-085bd6358b67,725,9550
Beta,1c81c2f3-5bf7-11ed-8042-085bd6358b67,2195,3194
Gamma,1c81c396-5bf7-11ed-bc39-085bd6358b67,8787,5998
Beta,1c81c431-5bf7-11ed-b169-085bd6358b67,5150,8994
Delta,1c81c4d3-5bf7-11ed-9cd7-085bd6358b67,7700,1064
Gamma,1c81c573-5bf7-11ed-a9ca-085bd6358b67,8223,2562
Beta,1c81c619-5bf7-11ed-b5e6-085bd6358b67,6764,3905
Alpha,1c81c6b4-5bf7-11ed-825c-085bd6358b67,8136,4934
Alpha,1c81c756-5bf7-11ed-b459-085bd6358b67,8740,1326
Delta,1c81c7f5-5bf7-11ed-8994-085bd6358b67,9293,6130
Beta,1c81c974-5bf7-11ed-ba6d-085bd6358b67,1850,1582
Beta,1c81ca26-5bf7-11ed-9c42-085bd6358b67,3128,5712
Delta,1c81cac7-5bf7-11ed-9bba-085bd6358b67,7300,4021
Gamma,1c81cb63-5bf7-11ed-ab92-085bd6358b67,2351,8550
Alpha,1c81cbff-5bf7-11ed-8b6b-085bd6358b67,4374,7466
Beta,1c81cca2-5bf7-11ed-935d-085bd6358b67,2855,2885
Gamma,1c81cd50-5bf7-11ed-9eba-085bd6358b67,5374,7122
Alpha,1c81cdef-5bf7-11ed-8e50-085bd6358b67,8926,715
Gamma,1c81ce8d-5bf7-11ed-9539-085bd6358b67,3975,1309
Delta,1c81cf27-5bf7-11ed-90c0-085bd6358b67,6632,9549
Delta,1c81cfc4-5bf7-11ed-8a20-085bd6358b67,8122,3955
Gamma,1c81d061-5bf7-11ed-af1f-085bd6358b67,8521,7906
Delta,1c81d0fc-5bf7-11ed-a688-085bd6358b67,1028,2724
Delta,1c81d195-5bf7-11ed-9f52-085bd6358b67,6572,2224
Gamma,1c81d23b-5bf7-11ed-9ae8-085bd6358b67,8825,6354
Beta,1c81d2e2-5bf7-11ed-9f5a-085bd6358b67,9154,7231
Delta,1c81d396-5bf7-11ed-8650-085bd6358b67,578,46
Alpha,1c81d44a-5bf7-11ed-9c11-085bd6358b67,828,5728
Beta,1c81d4e5-5bf7-11ed-85ef-085bd6358b67,1781,9965
Delta,1c81d57e-5bf7-11ed-9d0f-085bd6358b67,2282,7514
Delta,1c81d61c-5bf7-11ed-b72b-085bd6358b67,8210,7325
Gamma,1c81d6b7-5bf7-11ed-95f7-085bd6358b67,7507,6935
Beta,1c81d770-5bf7-11ed-9504-085bd6358b67,3888,5293
Alpha,1c81d811-5bf7-11ed-a79f-085bd6358b67,3204,9642
Delta,1c81d8af-5bf7-11ed-a4d2-085bd6358b67,408,1906
Gamma,1c81d94c-5bf7-11ed-bd97-085bd6358b67,7132,4039
Gamma,1c81d9eb-5bf7-11ed-adf7-085bd6358b67,1458,757
