Category,ID,X,Y
White,x0_y0,0,76
White,x0_y1,0,75
White,x0_y2,0,74
White,x0_y3,0,73
White,x0_y4,0,72
White,x0_y5,0,71
White,x0_y6,0,70
White,x0_y7,0,69
White,x0_y8,0,68
White,x0_y9,0,67
White,x0_y10,0,66
White,x0_y11,0,65
White,x0_y12,0,64
White,x0_y13,0,63
White,x0_y14,0,62
White,x0_y15,0,61
White,x0_y16,0,60
White,x0_y17,0,59
White,x0_y18,0,58
White,x0_y19,0,57
White,x0_y20,0,56
White,x0_y21,0,55
White,x0_y22,0,54
White,x0_y23,0,53
White,x0_y24,0,52
White,x0_y25,0,51
White,x0_y26,0,50
White,x0_y27,0,49
White,x0_y28,0,48
White,x0_y29,0,47
White,x0_y30,0,46
White,x0_y31,0,45
Other,x0_y32,0,44
Other,x0_y33,0,43
Other,x0_y34,0,42
Other,x0_y35,0,41
Other,x0_y36,0,40
Other,x0_y37,0,39
Other,x0_y38,0,38
Other,x0_y39,0,37
Other,x0_y40,0,36
Other,x0_y41,0,35
Other,x0_y42,0,34
Other,x0_y43,0,33
Other,x0_y44,0,32
Other,x0_y45,0,31
Other,x0_y46,0,30
Other,x0_y47,0,29
Other,x0_y48,0,28
Other,x0_y49,0,27
Other,x0_y50,0,26
Other,x0_y51,0,25
Other,x0_y52,0,24
Other,x0_y53,0,23
Other,x0_y54,0,22
Other,x0_y55,0,21
Other,x0_y56,0,20
Other,x0_y57,0,19
Other,x0_y58,0,18
Other,x0_y59,0,17
Other,x0_y60,0,16
Other,x0_y61,0,15
Other,x0_y62,0,14
Other,x0_y63,0,13
Other,x0_y64,0,12
Other,x0_y65,0,11
White,x0_y66,0,10
White,x0_y67,0,9
White,x0_y68,0,8
White,x0_y69,0,7
White,x0_y70,0,6
White,x0_y71,0,5
White,x0_y72,0,4
White,x0_y73,0,3
White,x0_y74,0,2
White,x0_y75,0,1
White,x1_y0,1,76
White,x1_y1,1,75
White,x1_y2,1,74
White,x1_y3,1,73
White,x1_y4,1,72
White,x1_y5,1,71
White,x1_y6,1,70
White,x1_y7,1,69
White,x1_y8,1,68
White,x1_y9,1,67
White,x1_y10,1,66
White,x1_y11,1,65
White,x1_y12,1,64
White,x1_y13,1,63
White,x1_y14,1,62
White,x1_y15,1,61
White,x1_y16,1,60
White,x1_y17,1,59
White,x1_y18,1,58
White,x1_y19,1,57
White,x1_y20,1,56
White,x1_y21,1,55
White,x1_y22,1,54
White,x1_y23,1,53
White,x1_y24,1,52
White,x1_y25,1,51
White,x1_y26,1,50
White,x1_y27,1,49
White,x1_y28,1,48
White,x1_y29,1,47
White,x1_y30,1,46
Other,x1_y31,1,45
Other,x1_y32,1,44
Blue,x1_y33,1,43
Blue,x1_y34,1,42
Blue,x1_y35,1,41
Blue,x1_y36,1,40
Blue,x1_y37,1,39
Blue,x1_y38,1,38
Blue,x1_y39,1,37
Blue,x1_y40,1,36
Blue,x1_y41,1,35
Blue,x1_y42,1,34
Blue,x1_y43,1,33
Blue,x1_y44,1,32
Blue,x1_y45,1,31
Blue,x1_y46,1,30
Blue,x1_y47,1,29
Blue,x1_y48,1,28
Blue,x1_y49,1,27
Other,x1_y50,1,26
Other,x1_y51,1,25
Other,x1_y52,1,24
Other,x1_y53,1,23
Other,x1_y54,1,22
Other,x1_y55,1,21
Other,x1_y56,1,20
Other,x1_y57,1,19
Other,x1_y58,1,18
Other,x1_y59,1,17
Other,x1_y60,1,16
Other,x1_y61,1,15
Other,x1_y62,1,14
Other,x1_y63,1,13
Blue,x1_y64,1,12
Other,x1_y65,1,11
White,x1_y66,1,10
White,x1_y67,1,9
White,x1_y68,1,8
White,x1_y69,1,7
White,x1_y70,1,6
White,x1_y71,1,5
White,x1_y72,1,4
White,x1_y73,1,3
White,x1_y74,1,2
White,x1_y75,1,1
White,x2_y0,2,76
White,x2_y1,2,75
White,x2_y2,2,74
White,x2_y3,2,73
White,x2_y4,2,72
White,x2_y5,2,71
White,x2_y6,2,70
White,x2_y7,2,69
White,x2_y8,2,68
White,x2_y9,2,67
White,x2_y10,2,66
White,x2_y11,2,65
White,x2_y12,2,64
White,x2_y13,2,63
White,x2_y14,2,62
White,x2_y15,2,61
White,x2_y16,2,60
White,x2_y17,2,59
White,x2_y18,2,58
White,x2_y19,2,57
White,x2_y20,2,56
White,x2_y21,2,55
White,x2_y22,2,54
White,x2_y23,2,53
White,x2_y24,2,52
White,x2_y25,2,51
White,x2_y26,2,50
